,robbins,berger_parker_d,heip_e,ace,chao1,menhinick,brillouin_d,gini_index,margalef,dominance,fisher_alpha,michaelis_menten_fit,observed_otus,mcintosh_d,doubles,pielou_e,singles,mcintosh_e,goods_coverage,shannon,enspie,simpson,kempton_taylor_q,simpson_e,lladser_pe,strong,faith_pd
SAT01,0.063793103,0.100517241,0.324410211,1394.401519,1324.546875,12.72359334,5.511475685,0.898127271,111.705886,0.014121819,332.4270165,1341.202933,969,0.892888945,191,0.836597381,370,0.142638706,0.936206897,8.299341218,70.81240606,0.985878181,0,0.073077818,0.127995172,0.525195723,55.17900696
SAT10,0.076551724,0.024310345,0.459022387,1659.552997,1614.560748,15.165893,5.988373727,0.857659524,133.1700335,0.003903805,433.1399555,1606.708531,1155,0.94999359,213,0.889725985,444,0.0779976,0.923448276,9.051784911,256.1603363,0.996096195,0,0.221783841,0.047812772,0.474085684,62.78914082
SAT11,0.06862069,0.059310345,0.343321916,1462.255006,1455.67284,12.7104627,5.567949509,0.899237572,111.5904874,0.008930262,331.9193551,1337.734402,968,0.917547933,161,0.844788841,398,0.113405547,0.93137931,8.379344976,111.9788026,0.991069738,0,0.115680581,0.109163581,0.525143916,54.76913509
SAT12,0.057068966,0.048448276,0.340618522,1233.873769,1266.75,11.20043872,5.456846186,0.914382791,98.31964348,0.009009512,275.855208,1137.492443,853,0.917123976,131,0.840752178,331,0.111260598,0.942931034,8.185901128,110.993797,0.990990488,0,0.130121685,0.038460585,0.536600437,51.47947786
SAT13,0.065862069,0.052586207,0.319712704,1418.34146,1359.160714,12.15897568,5.463906339,0.908976069,106.7437444,0.009397741,310.9140407,1297.49427,926,0.915073559,167,0.833398005,382,0.115333814,0.934137931,8.213027652,106.4085532,0.990602259,0,0.114912044,0.067697899,0.548029344,53.44055425
SAT14,0.058275862,0.042241379,0.344167502,1261.655597,1244.234899,11.31861451,5.476976751,0.914768302,99.35823126,0.008059512,280.0792402,1167.209487,862,0.922336078,148,0.842524275,338,0.105423077,0.941724138,8.215912585,124.0769838,0.991940488,0,0.143940816,0.035216872,0.547343387,52.25913724
SAT15,0.054137931,0.07137931,0.266038142,1166.741519,1154.123967,9.821721178,5.108854369,0.936479169,86.20278601,0.014542449,228.5796809,1021.667344,748,0.891108752,120,0.800460382,314,0.138417539,0.945862069,7.641910788,68.76420664,0.985457551,,0.091930758,0.042099454,0.588744238,45.62531935
SAT16,0.067931034,0.055172414,0.395204106,1478.25203,1464.598802,13.14377393,5.730309122,0.88695638,115.3986426,0.007018966,348.8590195,1350.584091,1001,0.928411372,166,0.865847709,394,0.101231084,0.932068966,8.630100022,142.4711373,0.992981034,0,0.142328809,0.041689106,0.499113817,57.82082019
SAT17,0.08,0.037241379,0.426582536,1706.609149,1668.423077,15.12650107,5.916389939,0.863428805,132.8238376,0.004758205,431.4136271,1630.756103,1152,0.943407812,207,0.879308769,464,0.086055461,0.92,8.942504239,210.1633076,0.995241795,0,0.182433427,0.053539356,0.488206418,63.2046637
SAT18,0.075689655,0.040517241,0.352380289,1600.937494,1537.887097,13.40638679,5.638302268,0.894123137,117.7066154,0.006971819,359.314334,1459.924666,1021,0.928696968,185,0.849716358,439,0.101312601,0.924310345,8.49356686,143.4345846,0.993028181,0,0.140484412,0.061637905,0.534429396,58.01562076
SAT19,0.071206897,0.039655172,0.350438719,1506.965346,1481.954023,13.03872878,5.60960901,0.896865006,114.4754534,0.007425803,344.7169358,1396.445564,993,0.925985691,173,0.848319753,413,0.103950341,0.928793103,8.445574467,134.6655778,0.992574197,0,0.135614882,0.068792413,0.530506303,56.3721031
SAT02,0.062241379,0.137931034,0.280988413,1327.248052,1313.265823,11.84384024,5.312975662,0.910710541,103.974177,0.022757848,299.1862627,1238.788848,902,0.860441101,157,0.813860289,361,0.178598578,0.937758621,7.989653124,43.94088618,0.977242152,0,0.048714951,0.053297569,0.541379693,52.97254562
SAT20,0.067413793,0.045344828,0.333327475,1448.940986,1402.210227,12.72359334,5.539856343,0.899997933,111.705886,0.008864447,332.4270165,1348.956039,969,0.917901444,175,0.840528541,391,0.113010264,0.932586207,8.338339708,112.8101945,0.991135553,0,0.116419189,0.090139309,0.526759902,56.90792684
SAT21,0.073448276,0.038275862,0.35415438,1560.320607,1506.230769,13.6821303,5.657309647,0.888216687,120.1299869,0.007608323,370.4473673,1477.753134,1042,0.924919079,194,0.850872198,426,0.106303311,0.926551724,8.530112537,131.4350014,0.992391677,0,0.126137237,0.068473641,0.520631081,59.85702874
SAT22,0.059137931,0.035172414,0.431027669,1332.4758,1311.086207,12.78924656,5.791850032,0.886547808,112.2828792,0.005283353,334.9706125,1290.810418,974,0.939651551,173,0.877898791,343,0.087336633,0.940862069,8.715584274,189.273738,0.994716647,0,0.19432622,0.04459909,0.490575657,56.69243933
SAT23,0.077241379,0.041724138,0.406470651,1663.444783,1593.797927,14.11544153,5.816472488,0.878436419,123.9381421,0.005528062,388.2661898,1502.409749,1075,0.937965149,192,0.871221151,448,0.091245253,0.922758621,8.773302359,180.895227,0.994471938,0,0.16827463,0.06966357,0.507678428,60.29080109
SAT24,0.072586207,0.050862069,0.378963949,1548.476432,1508.322581,13.56395451,5.716493371,0.887236158,119.0913991,0.006742509,365.6565431,1445.486869,1033,0.93010003,185,0.860418158,421,0.099883248,0.927413793,8.615043962,148.3127441,0.993257491,0,0.143574777,0.051835316,0.51498598,57.48281649
SAT25,0.068103448,0.075172414,0.296634595,1429.820573,1448.160839,11.87010153,5.371830701,0.914331992,104.2049742,0.012481332,300.1559907,1271.925257,904,0.900098998,142,0.821850287,395,0.13231838,0.931896552,8.070716901,80.11965551,0.987518668,0,0.088627938,0.048888862,0.560968874,53.23604357
SAT26,0.069655172,0.056724138,0.355531703,1488.390692,1463.255556,13.27508036,5.636393716,0.891555858,116.552629,0.008362901,354.0687572,1412.956423,1011,0.920639691,179,0.850788413,404,0.110729008,0.930344828,8.492201784,119.5757266,0.991637099,0,0.118274705,0.049953364,0.520533442,57.60937688
SAT27,0.069827586,0.029655172,0.389849532,1500.051873,1507.88024,13.36699487,5.731481308,0.887039704,117.3604195,0.006034721,357.736889,1399.157299,1018,0.934588281,166,0.864205434,405,0.094199054,0.930172414,8.634727477,165.7077554,0.993965279,0,0.162777756,0.133572137,0.505722851,58.10961462
SAT28,0.072758621,0.058793103,0.363004732,1541.043938,1507.219388,13.83969802,5.689876197,0.884929838,121.5147706,0.007800238,376.8808966,1491.438053,1054,0.923811281,195,0.854651527,422,0.107907725,0.927241379,8.582119331,128.2012195,0.992199762,0,0.121633036,0.087797359,0.513599424,56.97896111
SAT29,0.072413793,0.077068966,0.327887957,1519.182452,1518.52439,12.89429171,5.535752845,0.900125422,113.2060684,0.010554459,339.0587353,1389.486411,982,0.909203531,163,0.838452231,420,0.123645946,0.927586207,8.333862369,94.74668499,0.989445541,0,0.096483386,0.051209038,0.539000983,56.26110081
SAT03,0.06862069,0.077241379,0.345150336,1465.763311,1444.480663,13.23568843,5.604289589,0.891795388,116.2064331,0.01025547,352.5020809,1405.249813,1008,0.910688635,180,0.846452111,398,0.122543089,0.93137931,8.44528965,97.50894218,0.98974453,0,0.096735062,0.076111612,0.516748768,57.0345418
SAT30,0.069310345,0.062241379,0.324533406,1457.546894,1437.960227,12.86803042,5.522887642,0.899246057,112.9752711,0.010440844,338.034582,1374.805667,980,0.909765355,175,0.836916638,402,0.122927634,0.930689655,8.316137613,95.77769553,0.989559156,0,0.097732342,0.069942408,0.531748768,55.74809326
SAT31,0.076034483,0.053965517,0.338087261,1598.981874,1588.08284,13.31447229,5.591938765,0.895699663,116.8988249,0.008172949,355.6386604,1446.261511,1014,0.921698126,168,0.843603614,441,0.109532842,0.923965517,8.424092349,122.3548582,0.991827051,0,0.120665541,0.061952488,0.533754676,54.36172047
SAT32,0.064310345,0.113965517,0.300187841,1366.453414,1401.408759,11.75192574,5.37259209,0.911580007,103.1663865,0.017229429,295.8030382,1223.661236,895,0.880297958,136,0.82333726,373,0.155177171,0.935689655,8.073434288,58.04022788,0.982770571,0,0.064849417,0.052863298,0.543448276,53.00606303
SAT33,0.073965517,0.028275862,0.356281236,1560.836079,1516.764045,13.14377393,5.633238222,0.896590667,115.3986426,0.006465696,348.8590195,1415.705698,1001,0.931825925,177,0.850880287,429,0.09715943,0.926034483,8.480916336,154.6624001,0.993534304,0,0.154507892,0.05780403,0.531801991,58.41265782
SAT34,0.07137931,0.095,0.338027803,1514.176072,1511.888235,13.24881908,5.584600438,0.891688676,116.3218317,0.012695838,353.0239449,1400.949159,1009,0.899130349,169,0.843467869,414,0.13637424,0.92862069,8.416721646,78.76596861,0.987304162,0,0.078063398,0.06123561,0.516188271,56.45936355
SAT35,0.071206897,0.085172414,0.310860753,1508.506649,1502.780347,13.27508036,5.504666076,0.894652779,116.552629,0.012955291,354.0687572,1429.791069,1011,0.897969605,172,0.831439337,413,0.137818181,0.928793103,8.299067685,77.18853828,0.987044709,0,0.076348703,0.036244105,0.524916436,56.60713093
SAT36,0.070172414,0.053965517,0.34891577,1476.556134,1514.006536,12.78924656,5.589548353,0.89913532,112.2828792,0.008055886,334.9706125,1358.686529,974,0.922356548,152,0.847268142,407,0.107844569,0.929827586,8.411489989,124.1328413,0.991944114,0,0.127446449,0.048881943,0.52926078,56.6066245
SAT37,0.071551724,0.091551724,0.300973868,1514.681111,1479.809278,13.61647709,5.492506106,0.890720548,119.5529937,0.014574078,367.7821738,1481.480353,1037,0.890975939,193,0.82740789,415,0.14697277,0.928448276,8.289137874,68.61497291,0.985425922,0,0.066166801,0.038036953,0.521700861,59.28707774
SAT38,0.067413793,0.076896552,0.287268593,1441.614731,1378.210227,12.40845791,5.374451107,0.907362232,108.9363186,0.014261831,320.3401022,1336.454221,945,0.892293479,175,0.818321119,391,0.14263571,0.932586207,8.088425477,70.11722332,0.985738169,0,0.07419812,0.07260964,0.546657544,54.6731813
SAT39,0.055689655,0.093275862,0.232569843,1195.370699,1157.761905,10.5570372,5.034862693,0.929604264,92.66510999,0.022429191,253.3363067,1111.18555,804,0.861548906,146,0.782577576,323,0.173827494,0.944310345,7.552696637,44.58475477,0.977570809,0,0.055453675,0.071034122,0.572188197,46.9001486
SAT04,0.067068966,0.053965517,0.368478188,1439.726405,1433.202381,12.92055299,5.649313315,0.893757968,113.4368657,0.007668906,340.0843055,1348.990296,984,0.924567881,167,0.855384846,389,0.10544084,0.932931034,8.504676236,130.3966943,0.992331094,0,0.132516966,0.115327707,0.514100084,55.75316268
SAT40,0.080344828,0.049655172,0.333730648,1681.013627,1616.19697,14.03665767,5.621142348,0.888232459,123.2457503,0.0084,384.9967408,1556.563762,1069,0.920434382,197,0.842919415,466,0.112334342,0.919655172,8.481494041,119.047619,0.9916,0,0.111363535,0.058461638,0.529857101,60.35375684
SAT41,0.056034483,0.036034483,0.325210112,1201.692791,1200.774648,10.89843393,5.39093872,0.921148156,95.6654747,0.008620273,265.1847359,1128.361082,830,0.919224582,141,0.833251596,325,0.108327188,0.943965517,8.080013671,116.0056003,0.991379727,0,0.139765783,0.051569925,0.557237225,50.36862294
SAT42,0.063965517,0.077931034,0.293781194,1355.988141,1323.115385,12.42158855,5.396903708,0.906594909,109.0517172,0.012891617,320.8396945,1339.066737,946,0.898253387,181,0.821608455,371,0.135638742,0.936034483,8.122171729,77.56978744,0.987108383,0,0.081997661,0.038884014,0.543003572,55.66388315
SAT05,0.067068966,0.087586207,0.28965487,1431.063795,1371.158537,11.96201603,5.35470465,0.914026977,105.0127647,0.013417717,303.5608823,1294.919028,911,0.895929258,163,0.818567902,389,0.137388438,0.932931034,8.047592543,74.52832697,0.986582283,0,0.08180936,0.042772058,0.56116772,51.52025731
SAT06,0.058448276,0.126724138,0.275375991,1256.467068,1292.585938,11.09539358,5.240405026,0.919567497,97.39645434,0.02099679,272.1235131,1148.700712,845,0.86647468,127,0.80910456,339,0.169576506,0.941551724,7.866767906,47.6263287,0.97900321,0,0.056362519,0.049103662,0.552977964,50.03117472
SAT07,0.067241379,0.057931034,0.353284717,1428.078097,1444.152866,12.6185482,5.589544265,0.898558795,110.7826969,0.008757848,328.3755819,1317.013588,961,0.918476818,156,0.848779587,390,0.112143067,0.932758621,8.410041397,114.1833043,0.991242152,0,0.118817174,0.045268972,0.521938354,56.50250843
SAT08,0.064137931,0.026206897,0.410073612,1405.436717,1407.218182,12.98620621,5.756840606,0.888249973,114.0138589,0.00533591,342.6544373,1331.402963,989,0.93928612,164,0.870957734,372,0.088043509,0.935862069,8.665878525,187.4094708,0.99466409,0,0.189493904,0.059900743,0.498379589,56.29653752
SAT09,0.077068966,0.021034483,0.454499815,1670.482908,1624.252294,15.32346071,5.986722209,0.856321331,134.5548172,0.003915339,440.0797011,1631.89798,1167,0.949900131,217,0.888486482,447,0.078314982,0.922931034,9.052423459,255.4057337,0.996084661,0,0.21885667,0.081765925,0.473092663,64.31226346
