,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09
Otu529,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,2,0,1,0,0,46,8,1,9,0,3,24,6,0,0,0,0,0,3,0,1,0
Otu869,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Otu1376,33,9,2,0,1,0,2,4,27,39,89,4,87,15,25,8,29,58,59,33,30,43,21,20,42,55,49,12,43,57,29,60,39,2,50,49,35,6,4,2,3,17
Otu3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
Otu2723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Otu2306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0
Otu233,2,15,20,5,11,24,0,18,0,2,0,8,2,2,1,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,10,5,1,4,6
Otu2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Otu2195,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0
Otu1935,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu220,3,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,5,6,1,1,2,1,0,0,17,4,3,13,26,6,17,0,0,8,4,5,0,1,0,0,0
Otu2403,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Otu323,0,0,1,1,0,0,0,1,1,6,3,0,2,1,0,0,3,0,7,10,11,5,0,7,12,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Otu2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,2,0,2,0,0,1,1,0,0,1
Otu2115,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Otu517,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,2,3,6,4,1,21,1,0,1,0,2,0,0,0,0,0
Otu1456,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Otu464,2,6,0,0,0,0,0,0,6,12,11,6,21,3,4,8,11,13,13,10,6,6,2,5,11,18,9,3,6,12,14,11,4,0,7,6,4,0,0,0,2,0
