,robbins,berger_parker_d,heip_e,ace,chao1,menhinick,brillouin_d,gini_index,margalef,dominance,fisher_alpha,michaelis_menten_fit,observed_otus,mcintosh_d,doubles,pielou_e,singles,mcintosh_e,goods_coverage,shannon,enspie,simpson,kempton_taylor_q,simpson_e,lladser_pe,strong,faith_pd
SAT01,0.021125,0.23975,0.151561717,666.0282118,707.6101695,5.221218727,4.177433822,0.983575103,51.85154051,0.065766906,108.1815286,567.7020357,467,0.751956537,58,0.694964837,169,0.272311696,0.978875,6.162446926,15.20521577,0.934233094,,0.032559349,0.013165288,0.672666756,99.89158901
SAT10,0.02775,0.105625,0.212711749,890.2487329,909.6,6.94299107,4.766222795,0.973784483,68.98702814,0.024297094,157.2659,760.835683,621,0.85366906,84,0.760255703,222,0.1689695,0.97225,7.053994113,41.15718572,0.975702906,,0.066275661,0.022401587,0.620491345,126.6276846
SAT11,0.03225,0.062,0.227832249,999.9106436,1013.878788,7.591450784,4.914940242,0.97135654,75.44065336,0.016835219,177.2001489,861.5428755,679,0.880089093,98,0.77392236,258,0.141764307,0.96775,7.280494867,59.39928758,0.983164781,,0.087480541,0.045711504,0.63279676,128.7944727
SAT12,0.030125,0.068875,0.248404904,961.5429703,919.7777778,7.289581607,4.964191949,0.971913278,72.43637955,0.014955938,167.8228678,818.0692509,652,0.887629529,107,0.785793865,241,0.133126938,0.969875,7.346173232,66.86307696,0.985044063,,0.102550732,0.052482262,0.630873466,124.4490566
SAT13,0.030375,0.122375,0.170773964,924.278969,931.0357143,6.495777475,4.495106635,0.979742035,64.53625213,0.030137063,143.9763591,758.65572,581,0.835743602,83,0.723619704,243,0.187169144,0.969625,6.644561484,33.18173428,0.969862938,,0.057111419,0.018378383,0.679815835,119.8072061
SAT14,0.027125,0.571875,0.035675194,843.6411782,859.1967213,5.310661447,2.798027762,0.988094453,52.74169571,0.329025531,110.5916044,632.289162,475,0.431213644,60,0.468150928,217,0.609731673,0.972875,4.162696794,3.039277822,0.670974469,,0.00639848,0.027510806,0.724842105,93.39072375
SAT15,0.0315,0.05775,0.218100933,987.3232565,984.3291139,6.529318494,4.741048028,0.978093891,64.87006034,0.016905906,144.9600382,754.9391404,584,0.879813904,78,0.761899385,252,0.140242174,0.9685,7.001721682,59.15092543,0.983094094,,0.101285831,0.036068184,0.672453767,113.2773447
SAT16,0.026125,0.0505,0.264407676,867.2237897,856.5555556,7.121876508,5.002325034,0.970754123,70.76733855,0.013752656,162.6866449,770.1481136,637,0.892709071,98,0.794648824,209,0.127399274,0.973875,7.402272643,72.71322585,0.986247344,,0.114149491,0.023644983,0.603672096,129.325322
SAT17,0.026625,0.14525,0.137762143,835.2684018,893.0294118,6.272170677,4.24894015,0.979812266,62.31086413,0.048446469,137.4727287,693.4592958,561,0.788712488,67,0.688591042,213,0.236671475,0.973375,6.288114898,20.64133931,0.951553531,,0.036793831,0.037729085,0.650712567,138.4815426
SAT18,0.032125,0.04525,0.23077865,1007.081108,985.2828283,7.300761947,4.894514745,0.973548163,72.54764895,0.014485719,168.1671479,836.7784365,653,0.889589279,98,0.774560291,257,0.13103528,0.967875,7.242866176,69.0335093,0.985514281,,0.105717472,0.023136914,0.645422282,134.8831467
