,robbins,berger_parker_d,heip_e,ace,chao1,menhinick,brillouin_d,gini_index,margalef,dominance,fisher_alpha,michaelis_menten_fit,observed_otus,mcintosh_d,doubles,pielou_e,singles,mcintosh_e,goods_coverage,shannon,enspie,simpson,kempton_taylor_q,simpson_e,lladser_pe,strong,faith_pd
SAT01,0.028965517,0.262206897,0.06443086,744.3361842,819.75,5.331959593,3.317743988,0.976520229,50.96325761,0.111692975,107.4094886,643.5887775,454,0.673707301,59,0.556940697,210,0.356477019,0.971034483,4.915864068,8.953114551,0.888307025,,0.019720517,0.033170855,0.75191554,41.21646144
SAT10,0.032965517,0.07337931,0.228446433,935.3169369,936.1810345,8.115383434,4.920522432,0.933920313,77.62615398,0.017199448,187.8342674,894.6357073,691,0.879178764,115,0.774924095,239,0.144939895,0.967034483,7.309503993,58.14139988,0.982800552,0,0.084140955,0.031723827,0.621780328,62.46591769
SAT11,0.027586207,0.129103448,0.15412588,756.3082495,732.2916667,6.165812305,4.294325816,0.96222767,58.95087636,0.034985969,129.9773347,696.6857724,525,0.822615766,95,0.703102681,200,0.201616273,0.972413793,6.353357897,28.58288697,0.965014031,,0.054443594,0.018359957,0.694528736,41.50490352
SAT12,0.031862069,0.108137931,0.141305039,882.2393422,829.0714286,6.55337765,4.264450667,0.960624208,62.66343155,0.0370041,140.9142427,761.1494477,558,0.817233422,97,0.6923004,231,0.208372021,0.968137931,6.316632836,27.02403256,0.9629959,,0.048430166,0.031761238,0.695653442,44.29598667
SAT13,0.024965517,0.140965517,0.127941141,703.1643457,667.8181818,4.944394248,3.914449571,0.97407589,47.25070242,0.051774592,97.37391371,555.5709325,421,0.781639582,65,0.662378233,181,0.241531451,0.975034483,5.774399109,19.31449304,0.948225408,,0.045877656,0.020165551,0.719474158,38.94126193
SAT14,0.030758621,0.510344828,0.040963822,820.1457228,762.010989,5.754758151,2.950369671,0.974019042,55.01331782,0.26593796,118.6870389,710.6780249,490,0.490063778,90,0.491736016,223,0.55298699,0.969241379,4.394466734,3.760275523,0.73406204,,0.007674032,0.026649636,0.746648839,39.65942296
SAT15,0.025793103,0.089931034,0.167809701,718.4122204,680.3875,5.437659233,4.265973382,0.968030937,51.97577266,0.029177836,110.1967938,610.1589056,463,0.839038801,79,0.710923808,187,0.182440198,0.974206897,6.295136749,34.27258975,0.970822164,,0.074022872,0.020111221,0.706188128,37.93049521
SAT16,0.031172414,0.108551724,0.16094882,855.55708,841.5,6.565122054,4.392852344,0.958294793,62.77593322,0.030634806,141.2500638,741.6672293,559,0.834775931,89,0.712718421,226,0.18962122,0.968827586,6.504770397,32.642609,0.969365194,,0.058394649,0.031365957,0.680047128,52.63956612
SAT17,0.037241379,0.106482759,0.143964484,1023.35435,952,8.021428199,4.459138902,0.945079101,76.7261406,0.035706559,184.8839063,939.0301692,683,0.820676565,134,0.704355795,270,0.208581328,0.962758621,6.632032279,28.00605917,0.964293441,0,0.041004479,0.031893513,0.660949765,57.90219063
SAT18,0.038758621,0.079724138,0.173879082,1045.529167,1043.132075,7.89223975,4.631349271,0.944867905,75.4886222,0.024684747,180.8538922,915.4026388,672,0.852903036,105,0.732368546,281,0.173136683,0.961241379,6.878637855,40.51084708,0.975315253,0,0.060283999,0.030639793,0.661527504,61.38683406
SAT19,0.034344828,0.103586207,0.160860332,932.0044582,911.6909091,7.41071917,4.499436463,0.950551892,70.87605363,0.027864694,166.1057541,854.6175659,631,0.842973003,109,0.71786888,249,0.182811721,0.965655172,6.677254653,35.88770741,0.972135306,0,0.056874338,0.032579789,0.672595005,57.86994214
SAT02,0.032137931,0.120827586,0.153634113,912.8310587,820.1260504,6.964431803,4.399055423,0.954390954,66.60099008,0.037042568,152.8214021,796.652046,593,0.817132272,118,0.708084961,233,0.209576152,0.967862069,6.52279956,26.99596826,0.962957432,,0.045524398,0.049860845,0.673644473,52.93572086
SAT20,0.029793103,0.488965517,0.034497661,774.0951371,734.8965517,5.496381255,2.750205463,0.977804495,52.53828103,0.255068537,111.7545615,704.6787478,468,0.500838951,86,0.46185274,216,0.539811872,0.970206897,4.096802248,3.920514894,0.744931463,,0.008377169,0.01999763,0.773629826,40.77122452
SAT21,0.037103448,0.166758621,0.155098635,1013.897313,969.4590164,7.915728559,4.520371942,0.944585006,75.71362555,0.039773337,181.584319,915.3038681,674,0.810081387,121,0.71509618,269,0.219838017,0.962896552,6.719476182,25.14247202,0.960226663,0,0.037303371,0.032637825,0.657115727,57.12157651
SAT22,0.033931034,0.091310345,0.18054879,948.327635,922.125,7.880495346,4.664261409,0.941228089,75.37612053,0.026917479,180.4890627,883.4291314,671,0.845868752,119,0.738043717,246,0.180769828,0.966068966,6.930355199,37.15058133,0.973082521,0,0.055365993,0.081871719,0.640818953,58.72870634
SAT23,0.036965517,0.114896552,0.17485507,1013.959351,972.8421053,7.739562493,4.619555469,0.946071534,74.02610046,0.026740205,176.1310661,893.830999,659,0.846416332,113,0.732439312,268,0.179845627,0.963034483,6.858660343,37.39687179,0.973259795,0,0.056747909,0.037315167,0.661637172,53.61265804
SAT24,0.036827586,0.091586207,0.169245779,1017.131909,1001.27907,8.526437587,4.669048227,0.93500578,81.56371252,0.029359905,200.9346486,973.7599591,726,0.838500365,128,0.731362199,267,0.190384293,0.963172414,6.950738889,34.06005586,0.970640095,0,0.046914677,0.031651673,0.634965707,60.99248788
