site,lat,lon,AMT,maxTWW,minTCW,MAP,PWW,PDW,AMMI,MMIDQ,MMIWQ,elev,tot_plfa,bac,fun,euk,proto,actino,gpos,gneg,f_b,gpos_gneg,ph,ec,sand,silt,clay,moisture,whc,litC,litN,litCN,soilC,soilN,soilCN,lit_alk,lit_nalk,lit_oalk,lit_dioalk,lit_aryl,lit_oaryl,lit_carbonyl,lit_ketone,lit_a_oa,soil_alk,soil_nalk,soil_oalk,soil_dioalk,soil_aryl,soil_oaryl,soil_carbonyl,soil_ketone,soil_a_oa,k_doc,k_tdn,k_no3,k_nh4,k_don,k_faa,w_doc,w_tdn,w_no3,w_nh4,w_don,w_faa,t12_gluc,mrt_gluc,cue_gluc,mbn,mbc,mbc_n
SAT01,-33.488561,138.080681,17.4185,32.1804,5.69169,357.866,11.8935,3.03889,0.281613,0.053718,0.59937,48.4694,93.90987878,24.80342064,6.593932795,0.31602909,0.111913417,0.711614031,8.262938976,8.489008641,0.266,0.973,9,0.18,71.14,10.24,18.62,3.1,0.377,431.111385,9.637953685,44.73059314,19.1,1.400590285,13.6371073,20.22749715,6.554955551,35.04706385,9.203623085,13.93061703,6.23457737,7.057407509,1.744258456,0.577152404,24.72752046,8.666626985,22.33292124,5.691533263,17.29824273,6.631055411,12.13641728,2.515682638,1.107222839,295.9,17.16718533,0.672229465,1.900251746,14.59470412,0.532923571,64.38034062,6.426716433,0.092421143,2.892766221,3.441529069,0.102106539,2.048227927,2.954968273,0.656589715,31.389,656.7,20.9
SAT02,-34.004685,138.959912,14.0776,29.2214,3.41675,506.13,16.3413,4.25636,0.477929,0.094813,0.926457,548.636,75.65546159,18.15268673,3.349246208,0.331245251,0.014907096,0.601416464,7.578766335,4.186626137,0.185,1.81,5.5,0.04,76.69,12.24,11.08,1.65,0.233,473.0013173,6.947112382,68.08603219,32.57274701,1.65690035,19.65884491,14.07660307,5.78686616,43.69000406,11.15689918,12.40341568,5.668067204,5.764117577,1.454027063,0.322192762,22.25353129,7.245286469,22.09878564,6.621702469,20.65534051,8.946891911,9.67158317,2.506878535,1.00700245,108.9,19.17869721,2.10174904,4.527263134,12.54968503,1.977332918,104.9523381,9.408636538,0.58012355,0,8.828512988,0.309049778,1.681268608,2.425557884,0.60616875,20.966,429.4,20.5
SAT03,-33.552625,138.3938,16.3266,31.9359,4.31473,428.352,14.5024,3.44678,0.358669,0.064552,0.755807,201.225,73.47490565,15.18375898,3.54729589,0.419053472,0.037355006,0.368823776,5.763195346,4.515391703,0.234,1.276,7.4,0.04,63.54,8.99,27.47,3.04,0.371,461.1236537,11.80242393,39.07025001,11.3,1.051052666,10.75112634,13.98684367,5.805048296,42.12939901,11.23418496,13.47974427,6.139238757,5.884857074,1.340683962,0.331997227,18.78632182,7.998791988,26.30705212,6.456152155,17.72964024,7.087671144,13.44601997,2.188350572,0.71411733,104,14.27302748,0.523105965,4.588851778,9.161069741,0.776551503,51.44052961,7.378519476,0.102833591,4.586651928,2.689033957,0.088441774,2.009509021,2.8991087,0.652593446,17.082,380.7,22.3
SAT04,-33.913739,138.604342,14.1118,29.3503,3.19901,661.545,22.395,5.24965,0.566524,0.104892,0.997903,533.11,114.3069063,40.05530793,7.170338043,1.573672548,0,1.655699393,14.85703965,10.44442841,0.179,1.422,5.8,0.09,69.58,10.99,19.43,3.07,0.33,492.2141709,6.014843915,81.83324087,28.95794315,1.184018098,24.45734842,24.4151024,6.122767365,34.00516622,9.229742767,13.68574476,5.938014596,5.260243656,1.343218245,0.717982151,18.0724577,6.185583587,23.41924126,6.506226936,23.74349938,9.246656935,9.897472061,2.928862136,0.771692708,139.1,9.540307469,0.496298679,0.76129059,8.2827182,2.188209252,101.6049944,3.416762581,0.213057857,0.015007502,3.188697222,0.495919444,1.997534892,2.881833683,0.598852685,19.676,364.5,18.5
SAT05,-34.608537,138.861871,15.7268,30.3513,5.05856,546.299,19.0463,3.31945,0.498015,0.080992,0.955354,200.461,75.67298134,18.68140127,2.967162458,1.155394223,0,0.51864297,6.898889262,4.536066254,0.159,1.521,5.8,0.04,88.5,5.56,5.94,2.26,0.265,449.014458,7.294252657,61.55729436,20.26590301,0.861141216,23.5337743,10.17199092,6.015488488,44.7004675,11.61579344,13.80150807,6.552113737,5.573200329,1.56943751,0.227558938,25.00653433,6.715241094,21.71527689,6.252248519,20.12642509,8.860513614,8.994302911,2.329457551,1.151564148,51,9.830240413,1.823835576,2.603443326,5.402961511,0.685315848,52.11745126,4.860337998,0.509873968,0,4.35046403,0.181755988,3.022476036,4.360511189,0.596108572,23.382,245.8,10.5
SAT06,-34.682697,138.909036,14.6939,29.0861,4.60059,678.44,24.8473,3.82171,0.584181,0.100939,0.999757,352.363,83.54774714,23.50621301,4.546881113,0.985519695,0.035075797,0.353734642,8.466198561,6.261990972,0.193,1.352,4.8,0.14,82.78,5.91,11.31,3.79,0.397,471.5047299,5.742223213,82.11187765,44.83616261,2.100596479,21.34449099,18.06870126,5.833206545,39.64998553,10.50765844,12.96257147,6.088242117,5.479124232,1.410510398,0.455705116,19.03747343,6.680433301,21.05010846,6.655694673,21.0770864,10.0694997,11.9730735,3.456630537,0.904388377,102.5,20.72107798,5.903036204,3.059319857,11.75872192,2.255671665,124.656866,8.793193189,1.36558982,2.600489345,4.827114025,0.50370909,2.001244789,2.887185933,0.599549825,45.281,638,14.1
SAT07,-34.576469,139.006672,13.4136,27.5443,4.13009,699.088,25.3408,4.77532,0.603397,0.115477,1,571.958,95.86811473,30.02193878,4.975121425,1.596051213,0.027788798,1.096195187,10.65063359,7.829189498,0.166,1.36,4.9,0.35,83.14,7.45,9.41,5.48,0.392,474.1601911,5.617014566,84.41498334,31.83664281,1.526776748,20.8521926,13.87975993,6.092840249,43.09987599,11.20083258,13.11360892,6.157063641,5.097995116,1.35802358,0.32203712,20.57549959,7.125002134,26.61120904,7.361143889,18.33283026,8.330700146,9.203353214,2.460261723,0.773189206,58.9,9.700814409,1.329799478,3.320782435,5.050232496,0.832620027,46.69275261,4.231320041,0.27723744,2.138339559,1.815743042,0.134015438,2.130944749,3.074303422,0.586395487,54.559,567.1,10.4
SAT08,-34.887267,138.787586,14.382,27.973,4.95815,829.052,31.3317,4.32462,0.626779,0.124424,1,397.156,119.5201118,46.66424846,7.545596984,1.910340275,0.180050225,2.23555564,18.91980736,12.42829628,0.162,1.522,6.5,0.024,47.98,35.29,16.73,7.81,0.513,448.0074722,5.662516754,79.11808329,34.9750754,1.908930741,18.32181475,20.34177665,5.983374441,39.08003723,9.723031502,12.44502297,5.291428177,5.683138198,1.452190821,0.520515795,17.1890386,6.620403215,27.95380499,7.386211373,20.85156718,7.231884556,10.55458528,2.212504806,0.614908726,179.3,17.90212384,3.010447139,0.363299677,14.52837702,3.092316889,145.1630465,7.320417932,0.933373653,0,6.387044278,1.605636004,2.28481359,3.296289235,0.566555971,51.489,616,12
SAT09,-34.926711,139.038697,13.7816,27.4843,4.35324,688.071,25.2616,4.61569,0.600641,0.118354,0.999917,460.094,96.31483956,30.09643264,6.081617104,1.394745162,0.156548067,1.043899741,12.21463379,7.237246928,0.202,1.688,5.3,0.06,83.25,5.91,10.84,3.04,0.431,453.9987825,5.891209209,77.06376848,28.68844039,1.539899469,18.63007356,11.55418159,5.53587163,45.3906323,12.17638668,11.87261289,6.310100651,5.726534071,1.433680188,0.254549915,19.35153383,7.08554661,23.60688696,6.811587128,20.80519782,8.392054586,11.20763331,2.739559751,0.81974103,140.8,13.00610318,1.602191031,2.106043834,9.297868315,1.89613942,124.1014491,7.015292376,0.434366762,1.218129847,5.362795767,0.487891298,2.283820208,3.294856089,0.57952491,21.01,321.9,15.3
SAT10,-34.503808,138.703772,16.4889,31.0987,5.72227,445.248,14.3649,3.59655,0.387054,0.07284,0.793072,85.1841,90.6452682,27.5445082,5.051440381,0.961287521,0.048778086,0.766327934,10.53798413,7.902669176,0.183,1.333,7.9,0.1,83.27,5.8,10.93,2.84,0.368,415.9513557,8.23736589,50.49567559,20.67173947,1.257834841,16.43438295,19.19757192,6.78124353,37.85315056,9.434308571,13.17819214,5.9465944,6.042809293,1.566129587,0.507159157,24.99455564,8.447096559,23.75405075,5.906158229,17.94285795,6.865562304,9.420597434,2.669121132,1.052222878,192,17.48624008,1.378811976,5.096236533,11.01119158,0.523912367,95.84440553,10.72817718,0.364968625,4.577768817,5.785439742,0.269856276,1.476208556,2.129718763,0.597286927,30.563,482.4,15.8
