R_cpd,SAT01,SAT02,SAT03,SAT04,SAT05,SAT06,SAT07,SAT08,SAT09,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT40,SAT41,SAT42
C10_0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.009945638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11_0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12_0,0.030755833,0,0,0.036488741,0.009914093,0.019439624,0,0.034514607,0,0,,0.002816246,0,0,0.015421484,0,,0,0.03249657,0,0.024503855,0.029262097,0,0.131987309,0.026619427,0,0.018467453,0,0,0.041178764,0,0,0.005036642,0,0,0,0,0.071266209,0,0,0.037917028,0.021120486
C13_0,0,0,0,0,0,0.00053929,0,0.014316332,0,0,,0,0,0,0,0,,0,0,0,0,0.005167687,0,0,0,0,0.000829795,0,0,0.006803232,0,0,0,0,0,0,0,0,0,0,0.00091514,0
iC14_0,0.184992205,0.121260593,0.082575452,0.271126902,0.103265242,0.142858244,0.155961868,0.509522162,0.246249424,0.207211926,,0.240452325,0.06942494,0.145610461,0.125151334,0.118771137,,0.137787823,0.160477318,0.052029182,0.188814749,0.357671354,0.181720993,0.244492249,0.171325035,0.024648899,0.054030371,0.043668601,0.154710317,0.260938032,0.240036979,0.095707149,0.083465895,0.034989509,0.058837929,0.010708629,0.01707543,0.189930846,0.002624039,0.048273771,0.244385317,0.142014108
aC14_0,0,0,0,0.001103868,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14_0,1.663835219,0.640564959,0.54917752,2.484127002,1.203440483,1.44822862,1.556847565,2.112619124,1.168049611,1.845761831,,2.018683145,0.700228151,1.346474344,1.572159691,1.286873664,,0.767574586,1.828508419,0.215216038,1.04184501,1.810266055,1.12392361,2.966188237,2.082891187,0.404398717,0.777533523,0.451766479,1.148755258,1.256757078,2.460657716,0.743346181,0.463293617,0.539747253,0.403638925,0.142584975,0.231776488,1.433391141,0,0.661991459,1.605030029,0.771651098
iC15_0,2.873704213,2.940269554,1.797930294,5.506388868,2.521490896,3.908559892,4.119274646,7.15702592,4.433469784,3.231860225,,5.896878584,2.327019628,2.64405131,3.731651357,2.93323683,,2.436064485,3.168615026,1.242558377,4.225339577,5.160478681,3.471586744,4.875313781,2.858066311,1.38035262,2.04228437,1.955837384,2.553561709,4.881900981,4.078934787,1.688609213,1.410961668,1.283349575,1.270051604,0.740413825,0.817445465,3.143622381,0.149392321,1.936084582,3.669431377,2.241153942
aC15_0,0.994887653,0.778351008,0.557694303,2.2812515,0.617821848,0.766886572,1.735138025,3.8509728,1.656699484,1.183048074,,1.904795692,0.723344933,1.030617207,0.878328381,0.915686311,,0.885565453,1.067729597,0.457639509,1.310873672,1.835448633,1.260042291,1.654062084,1.07747385,0.455561649,0.668170476,0.576527301,0.835423471,1.334149757,1.478778511,0.715164836,0.503048759,0.420709792,0.418504192,0.317878172,0.197352506,1.055406484,0.062973624,0.568039834,1.282702585,0.804570185
2OH-C10_0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.665283557,0,,0,0,0,0.974444501,1.354062381,0,0,0.792492198,0,0,0,0.628039302,0.980042951,0,0,0.383550985,0,0,0,0,0,0,0,0.941153647,0
