site,C10_0,C11_0,C12_0,C13_0,iC14_0,aC14_0,C14_0,iC15_0,aC15_0,2OH-C10_0,C14_1n5,C16_0br,C15_0,C16_0br1,iC16_0,aC16_0,C15_1,C17_0br,C16_1w5t,C16_0,C16_1w5c,C17_0br,C16_1n7t,C17_0br1,iC17_0,C16_1br,C16_1n7c,C16_1n9c,aC17_0,C18_0br,2OH-C12_0,C18_0br,C17_0,C17_1br,C18_0br1,iC18_0,me10C16_0,C17_1br1,C17_1,aC18_0,C18_0,C19_0br,C19_0br1,C18_1n9t,3OH-C12_0,iC19_0,C18_1n9c,C18_1ntc_1,aC19_0,C20_0br,C18_1ntc_2,C18_2n6t,2OH-C14_0,C18_2n6c,me10C18_0,C19_1br,C18_3n6c,C20_0,3OH-C14_0,C18_3n3,2OH-C16_0,C20_1,C21_0,C20_2n6,C20_3n6c,C22_0,C20_3n3c,C20_4n6c,C22_1,C23_0,c22_2,C20_5n3,C24_0,C24_1,C25_0,C26_0,C22_6n3c,C27_0,C28_0,C29_0,C30_0
SAT01,0,0,0.030755833,0,0.184992205,0,1.663835219,2.873704213,0.994887653,0,1.296651934,0.052082823,0.280262375,0.024330662,1.884485793,0.022641033,0.130043316,0.165905779,0.25433145,5.907347273,0.191527929,1.711231562,0.492467802,0.44685745,1.819286688,1.500289436,4.923537525,1.162701503,0.196307319,0.332476632,0.006603634,0.022941373,0.275590794,2.266608221,0.144717784,0.033684312,0.681048637,0.964363469,0.972962245,0.003118918,1.121493513,0.000197196,0.214549346,0.338449132,0.000283013,3.168152381,0.414125068,3.266414905,0.973951488,0.59705653,0.250176106,0,0,2.433696101,0.030565394,0.516105277,0,0.140950845,0.019792345,0.141247588,0.005618639,0.191694076,0,0,0,0.067444766,0,0.111913417,0,0.001325329,0,0.024362322,0.081667328,0,0,0,0,0,0.0002785,0,0
SAT02,0,0,0,0,0.121260593,0,0.640564959,2.940269554,0.778351008,0,0.121593695,0.111316392,0.301655669,0.024265154,1.686504,0.014225446,0.184418749,0.297336329,0.13535406,4.759954747,0.264945145,1.303045153,0.126709599,0.259106343,0.835065181,0.537624808,1.814881828,1.209162932,0.784403128,0.312710976,0.003198844,0.037810103,0.416530798,0.653116613,0.259417395,0.016382074,0.578749544,0.18174557,0,0.000207368,0.724267376,0.368353837,0.054672913,0.000889518,0,1.575681228,0.38817199,1.208376051,0.005309959,0.006545451,1.284551242,0,0,1.744942149,0.02266692,0.945042054,0,0.103168771,0.112937384,0.0068665,0,0.006585855,0.005661573,0,0,0.072586985,0.029185272,0.014907096,0,0.003139181,0,0.007372358,0.05900297,0,0.001945185,0.0463798,0.000770224,0.0005738,0.001111001,0,0.00034813
SAT03,0,0,0,0,0.082575452,0,0.54917752,1.797930294,0.557694303,0,0.026019869,0.034226282,0.162357584,0.00634103,1.175688078,0.019109674,0,0.118564203,0.105887561,3.74352453,0.102373255,0.939743226,0.190689287,0.205034886,0.952071273,0.656487598,1.768459784,1.85104597,0.889782194,0.296673515,0.01943196,0.05877757,0.2903219,0.760175874,0.093180555,0.017131851,0.334371238,0.28461217,0.081535578,0,0.63046604,0.357844062,0.126810742,0.096651383,0,1.467834338,0.386536594,1.433777078,0.02219188,0.022798461,2.398043967,0,0,1.426562635,0.034452538,0.383966183,0.003004812,0.105450733,0.015104251,0.203768199,0,0.070523798,0,0,0,0.070190564,0.117043566,0.037355006,0,0.004327975,0,0.023316558,0.086068376,0,0.001186189,0.006376534,0.001492322,0.002312431,0.000279836,0,0.001008388
SAT04,0,0,0.036488741,0,0.271126902,0.001103868,2.484127002,5.506388868,2.2812515,0,0.085962993,0.088866423,0.343311494,0.000613401,2.52215024,0.122608572,0,0.317269537,0.114322551,10.94260578,0.143689109,2.295690917,0.344807856,0.514880754,1.741521201,1.204948958,3.813818718,3.438264153,1.678572036,0.085969983,9.51E-05,0,0.629781068,1.196865446,0.194376034,0.226247833,0.824851124,0.004080637,0.001165896,0.000419366,1.775734459,0.382011102,0.000596582,0,0,3.061656913,0.573501752,2.693915338,0.17976993,0.186074908,7.67435977,0,0,3.704935939,0.83084827,1.788823754,0,0.320462341,0.097017865,0.197985013,0,0,0,0,0,0.461511439,0.047947486,0,0,0.009355607,0,0,0.537544796,0,0.026811945,0.10719438,0,0.060776461,0,0,0.002068093
SAT05,0,0,0.009914093,0,0.103265242,0,1.203440483,2.521490896,0.617821848,0,0.043520328,0.071324419,0.270541103,0.019334474,1.660557302,0.01949348,0.041764095,0.266576479,0.103675409,5.587904374,0.311406827,1.072085552,0.155969833,0.169163248,0.815646998,0.510688927,1.498726231,1.123378623,0.731819605,0.30433699,0.0029278,0.034832916,0.429552536,0.635443091,0.202544385,0.018734835,0.46783874,0.190039731,0,0.00041633,0.859443218,0.280929861,0.059621095,0,0,1.254609464,0.295081014,1.096182006,0.002171629,0.002628241,1.3581896,0,0,1.396684434,0.050804229,0.760899246,0,0.148620753,0.220722976,0.179215004,0,0.022666838,0.025963832,0,0,0.32077087,0.034826431,0,0,0.043122277,0,0.001994968,0.323366408,0,0.010277156,0.157195346,0.000237903,0.031392237,0.038616237,0.006079516,0.01293029
SAT06,0,0,0.019439624,0.00053929,0.142858244,0,1.44822862,3.908559892,0.766886572,0,0.052684094,0.057655686,0.432674522,0.025386854,1.728905906,0.015255902,0.001774984,0.226585749,0.159661899,7.017107601,0.124257943,1.59996951,0.317259204,0.29029348,0.94210084,0.57563926,2.657820057,1.401476667,0.319517656,0.077371539,0.001802625,0.000487929,0.634994439,0.688259664,0.29861232,0.022375013,0.296787742,0.237340942,0,0.007528042,0.954527803,0.335159748,0.049381525,0.046230005,0,2.2362493,0.34962304,1.468182168,0.014675634,0.019990107,0.119917117,0,0,2.529253296,0.056946901,1.495723028,0,0.168910114,0.283458536,0.153592605,0.012431417,0.011764501,0.018509809,0,0,0.23962381,0.019471544,0.035075797,0,0.025324686,0,0.003167688,0.305094254,0,0.007071892,0.122160233,0.000418225,0.02386832,0.023107144,0.008957206,0.019834769
SAT07,0,0,0,0,0.155961868,0,1.556847565,4.119274646,1.735138025,0,0.094741134,0.054268118,0.349630803,0.010243694,1.679340195,0.05867838,0.007260542,0.041987442,0.035188261,8.675163784,0.076866801,1.587238364,0.224266515,0.302172994,1.250088569,0.854918344,3.36798573,2.480381402,1.053731466,0.039988546,0.006791479,0.007983453,0.499710749,0.946612463,0.230094521,0.157388074,0.702856598,0.082637232,0.001189025,0.00256611,1.421125918,0.277437869,0.02859557,0.009384589,0,2.12398158,0.403890146,2.655485981,0.095724177,0.098740131,3.043231128,0,0,1.756160078,0.393338589,1.510777763,0,0.294998997,0.054366824,0.150200631,0.003004801,0.015523381,0,0,0,0.437903642,0.03832244,0.027788798,0,0.012267257,0,0.001256072,0.524406556,0,0.076119309,0.147715733,0.005926492,0.037573887,0.00873588,0.003330845,0.007494103
SAT08,0,0,0.034514607,0.014316332,0.509522162,0,2.112619124,7.15702592,3.8509728,0,0.393543113,0.275289418,0.753667972,0.031073508,2.738918907,0.079975679,0.008732009,0.345985828,0.258113107,10.70054437,0.126402033,2.921974175,0.258347329,0.537316128,1.981726206,1.552270052,5.656939891,4.158228698,1.812198658,0.505375502,9.69E-05,0.020568021,0.833786731,1.631171446,0.276921008,0.035655982,1.348705478,0.525471078,0.039028211,0.030531769,1.577545891,0.616174209,0.080995624,0.223892449,0.000290609,2.900453295,0.644201559,4.26713082,0.01498419,0.015211525,0.432044158,0,0,2.335174768,0.886850162,2.196055216,0,0.268929489,0.034472933,0.075197388,0.000923112,0,0.000306802,0,0,0.378692568,0.084412495,0.180050225,0,0.03759492,0,0.006798607,0.511296331,0,0.014810094,0.225835244,0.000793033,0.208992532,0.05390637,0.035889286,0.082082503
SAT09,0,0,0,0,0.246249424,0,1.168049611,4.433469784,1.656699484,0,0.124279227,0.134688988,0.449184612,0.032138204,2.263940875,0.029235453,0.058593201,0.203010483,0.192829223,7.967879191,0.243375945,1.267462098,0.310183524,0.24841128,1.518913376,1.029112845,3.094471835,2.170671052,1.458330555,0.588158404,0.02236436,0.066982376,0.614586298,1.181105513,0.255483929,0.02244399,1.016227963,0.809927998,0.275831837,0.002307326,1.183588381,0.416958865,0.096879278,0.034537148,0,2.044809245,0.652814385,2.261525661,0.001790377,0.002270007,2.191752764,0,0,3.022873101,0.027671778,1.201401828,0.006805288,0.223154339,0.172368609,0.109866809,0.026526539,0,0.01766264,0,0.006339756,0.264856222,0.186286362,0.150208311,0,0.038271259,0.035548718,0.087023316,0.34081392,0,0.010200421,0.163349095,5.99E-05,0.008415941,0.013204652,0,0.005898347
SAT10,0,0,0,0,0.207211926,0,1.845761831,3.231860225,1.183048074,0,1.208700936,1.03621515,0.403291823,0.014381253,2.202320549,0.031662555,0.079259519,0.188288726,0.109006835,6.88520092,0.236066732,1.324475873,0.27400876,0.330036172,1.430373307,0.985727773,2.876403518,2.46707329,1.570703648,0.783637765,0.010914849,0.151734808,0.611635278,1.014360073,0.232832043,0.100831127,0.655741162,0.429356453,0,0.000836773,1.049034218,0.555905988,0.033528948,0.165526065,0,1.87563712,0.610265195,2.177792884,0.014681314,0.015092713,0.103496654,0,0,1.910409126,0.110586772,0.650838112,0,0.221045353,0.149471978,0.187447112,0.011305662,0.013097819,0.031322542,0,0,0.239023573,0.038255638,0.048778086,0,0.021667654,0,0.013063687,0.296059189,0,0.008623819,0.075968183,0.003108013,0.002604825,0.006864778,0.00122191,0.002458356
